@relation twittr

@attribute L1 numeric
@attribute L2 numeric
@attribute L3 numeric
@attribute L4 numeric
@attribute L5 numeric
@attribute L6 numeric
@attribute L7 numeric
@attribute L8 numeric
@attribute L9 numeric
@attribute L10 numeric
@attribute L11 numeric
@attribute L12 numeric
@attribute L13 numeric
@attribute L14 numeric
@attribute L15 numeric
@attribute L16 numeric
@attribute L17 numeric
@attribute L18 numeric
@attribute L19 numeric
@attribute L20 numeric
@attribute L21 numeric
@attribute L22 numeric
@attribute L23 numeric
@attribute L24 numeric
@attribute L25 numeric
@attribute L26 numeric
@attribute L27 numeric
@attribute L28 numeric
@attribute L29 numeric
@attribute L30 numeric
@attribute L31 numeric
@attribute L32 numeric
@attribute L33 numeric
@attribute L34 numeric
@attribute L35 numeric
@attribute L36 numeric
@attribute L37 numeric
@attribute L38 numeric
@attribute L39 numeric
@attribute L40 numeric
@attribute L41 numeric
@attribute L42 numeric
@attribute L43 numeric
@attribute L44 numeric
@attribute L45 numeric
@attribute L46 numeric
@attribute L47 numeric
@attribute L48 numeric
@attribute L49 numeric
@attribute L50 numeric
@attribute L51 numeric
@attribute L52 numeric
@attribute L53 numeric
@attribute L54 numeric
@attribute L55 numeric
@attribute L56 numeric
@attribute L57 numeric
@attribute L58 numeric
@attribute L59 numeric
@attribute L60 numeric
@attribute L61 numeric
@attribute L62 numeric
@attribute L63 numeric
@attribute L64 numeric
@attribute L65 numeric
@attribute L66 numeric
@attribute L67 numeric
@attribute L68 numeric
@attribute L69 numeric
@attribute H1 numeric
@attribute H2 numeric
@attribute H3 numeric
@attribute H4 numeric
@attribute H5 numeric
@attribute H6 numeric
@attribute H7 numeric
@attribute H8 numeric
@attribute H9 numeric
@attribute H10 numeric
@attribute H11 numeric
@attribute H12 numeric
@attribute H13 numeric
@attribute H14 numeric
@attribute H15 numeric
@attribute H16 numeric
@attribute H17 numeric
@attribute H18 numeric
@attribute H19 numeric
@attribute H20 numeric
@attribute H21 numeric
@attribute H22 numeric
@attribute H23 numeric
@attribute H24 numeric
@attribute H25 numeric
@attribute H26 numeric
@attribute H27 numeric
@attribute H28 numeric
@attribute H29 numeric
@attribute H30 numeric
@attribute H31 numeric
@attribute H32 numeric
@attribute H33 numeric
@attribute H34 numeric
@attribute H35 numeric
@attribute H36 numeric
@attribute H37 numeric
@attribute H38 numeric
@attribute H39 numeric
@attribute H40 numeric
@attribute H41 numeric
@attribute H42 numeric
@attribute H43 numeric
@attribute H44 numeric
@attribute H45 numeric
@attribute H46 numeric
@attribute H47 numeric
@attribute H48 numeric
@attribute H49 numeric
@attribute H50 numeric
@attribute H51 numeric
@attribute H52 numeric
@attribute H53 numeric
@attribute H54 numeric
@attribute H55 numeric
@attribute H56 numeric
@attribute H57 numeric
@attribute H58 numeric
@attribute H59 numeric
@attribute H60 numeric
@attribute H61 numeric
@attribute H62 numeric
@attribute H63 numeric
@attribute H64 numeric
@attribute H65 numeric
@attribute H66 numeric
@attribute H67 numeric
@attribute H68 numeric
@attribute H69 numeric
@attribute H70 numeric
@attribute H71 numeric
@attribute H72 numeric
@attribute H73 numeric
@attribute H74 numeric
@attribute H75 numeric
@attribute H76 numeric
@attribute H77 numeric
@attribute H78 numeric
@attribute H79 numeric
@attribute H80 numeric
@attribute H81 numeric
@attribute H82 numeric
@attribute H83 numeric
@attribute H84 numeric
@attribute H85 numeric
@attribute H86 numeric
@attribute H87 numeric
@attribute H88 numeric
@attribute H89 numeric
@attribute class {0.0,1.0}

@data
-0.376373689877486,-0.3981290932097813,-0.4089205837265572,-0.47066938044465834,-0.3472471059410244,-0.3757883593675559,-0.35299879860548267,-0.32839568559348814,-0.4084727680911372,-0.4395263606936887,-0.4041158846755566,-0.3813413185663324,-0.4016720955937092,-0.4395836861758886,-0.37236794053828687,-0.3891087126838319,-0.3935294661842597,-0.4414968351179788,-0.15916824517441244,-0.3814506066102366,-0.3974429064024179,-0.2811969294464996,-0.33013464191400493,-0.43609022831550937,-0.37050290205188585,-0.32799353091538785,-0.5174603503444452,-0.40673532344973967,-0.36751758779311416,-0.4612324162341472,-0.4269935741197432,-0.39737623000845856,-0.4116748500665073,-0.4152212689389533,-0.3088365745928731,-0.4074493215010664,-0.3438431393201536,-0.3042622132853757,-0.22560549164381552,-0.3047538180111949,-0.35362604767461797,-0.3969554654605657,-0.4798494558540647,-0.2668024920516671,-0.27075819471480833,-0.2948145812156601,-0.2917322032659605,-0.4210987155535024,-0.2393020279726791,-0.4462010502323017,-0.439826334980857,-0.4334985507280622,-0.38296352568000575,-0.34169336471048034,-0.3756922281171052,-0.3326452351596089,-0.4759244189154433,-0.4271811425648997,-0.2402737694995669,-0.36962053092355496,-0.4517838651781224,-0.22589687457948224,-0.5157422630366217,-0.3827177291793513,-0.250070255885839,-0.03223012819451549,-0.29267107966413236,-0.3244428422615249,-0.42307601031710657,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?
-0.602490232883494,-0.5529570739024741,-0.5759469194051425,-0.5936892036931954,-0.595039943675639,-0.5495661369507392,-0.5679816213105724,-0.3844537467413689,-0.5671781537747883,-0.5712079096843972,-0.5689010026985991,-0.5098145970138134,-0.5697280068536059,-0.6017559677763463,-0.5698549687402341,-0.5746510143723076,-0.5961523436941938,-0.5463081421831985,-0.6663112056611611,-0.5817956521829328,-0.5642811175066418,-0.5903663283143787,-0.5955060287156931,-0.5033452696469098,-0.5846877186844424,-0.576087215911103,-0.6028230161514628,-0.5773249177943666,-0.5091298693280756,-0.5343334029580498,-0.6186273776427624,-0.46809572856928594,-0.5305496778615798,-0.5368907570466466,-0.58416729439501,-0.4074493215010664,-0.6010004262718711,-0.5339972776986033,-0.5572455643602243,-0.3369205037237901,-0.4539793855282258,-0.4650049738252341,-0.5183106717812989,-0.6182008962172775,-0.48269704951778003,-0.4898100522559393,-0.6129654158509508,-0.4547866127977826,-0.45779518394773394,-0.5400854345117766,-0.5575994052339395,-0.5497955359482237,-0.4278107808830177,-0.5107787410620582,-0.5636626612451869,-0.35930763950446304,-0.5571544072642498,-0.5705228841445997,-0.2537506636221388,-0.4966067255966782,-0.4517838651781224,-0.4714188011094925,-0.45751329785506767,-0.47262904156579927,-0.3739258071500517,-0.48345192291773254,-0.29267107966413236,-0.3244428422615249,-0.5669315020805743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?
-0.22903983380117304,-0.18136992024001147,-0.2782043210215774,-0.2685653851077759,-0.18036621522179425,-0.23267724841669912,-0.21666822810957212,-0.18124327508030108,-0.20274356442714508,-0.2996147148910611,-0.31256859688497746,-0.08157033552221016,-0.1560519175984755,-0.16777380574695241,-0.19766787712887202,-0.2852050237382855,-0.26327190207073065,-0.20567139422123462,-0.09001238692621946,-0.12990627161340693,-0.14279511050649732,0.08980634919495538,-0.16427752516294983,-0.21190675721084112,-0.12359540510046658,-0.24964815670621462,-0.022356888663742733,-0.15813219510604565,-0.46192577548308844,-0.24192945606243946,-0.10760390158137789,-0.3266567314476312,-0.2541657032380361,-0.20567937275348153,-0.1864673657919234,-0.19083069488024632,-0.1543588226188881,-0.16067779802710855,-0.03609687866301052,-0.216295432301558,-0.35362604767461797,-0.32890595709589726,-0.2875433762178937,-0.22775822492215486,-0.2575120162896226,-0.27044014733562527,-0.10817036750310897,0.18528343484354107,-0.30484997476519554,-0.17435671366188193,-0.22489048176898138,-0.17506080579437008,-0.09369872962057856,-0.25715067653469137,-0.2817070115530643,-0.0684450466515087,-0.20724061130016022,-0.22411367532699128,-0.15132626829059262,-0.210887787582151,-0.11534907196037168,-0.2083595941130529,-0.2245974371288514,-0.39270787500006776,-0.29961247639152405,-0.48345192291773254,-0.29267107966413236,-0.3244428422615249,-0.2468023795646884,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?
-0.6055596882184172,-0.5581180065922304,-0.5832089339998636,-0.6083344207465927,-0.6102109337410234,-0.5597883591615146,-0.5784685882717963,-0.37978224164571217,-0.5671781537747883,-0.5629778128724778,-0.5505915451404833,-0.5098145970138134,-0.5761916957482174,-0.5994718511340863,-0.5698549687402341,-0.5746510143723076,-0.5961523436941938,-0.5550424177719668,-0.6663112056611611,-0.5929259324925271,-0.5642811175066418,-0.5903663283143787,-0.5955060287156931,-0.5033452696469098,-0.5995616642839254,-0.602202340647494,-0.594286749570761,-0.5846061809676129,-0.5091298693280756,-0.5343334029580498,-0.6186273776427624,-0.46809572856928594,-0.5335215485564566,-0.5368907570466466,-0.5994634454951288,-0.4074493215010664,-0.6280696143720519,-0.5339972776986033,-0.5572455643602243,-0.33423994658107387,-0.4539793855282258,-0.4650049738252341,-0.5183106717812989,-0.6182008962172775,-0.48269704951778003,-0.4654356183759044,-0.6129654158509508,-0.4547866127977826,-0.4796444995452394,-0.5414866939786344,-0.5605437319902666,-0.5497955359482237,-0.4278107808830177,-0.5107787410620582,-0.5636626612451869,-0.35930763950446304,-0.5634028679064657,-0.594413174407883,-0.2537506636221388,-0.4966067255966782,-0.4517838651781224,-0.4714188011094925,-0.45751329785506767,-0.47262904156579927,-0.3739258071500517,-0.48345192291773254,-0.29267107966413236,-0.3244428422615249,-0.5689576357673837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?
-0.557471554637954,-0.5013477470049098,-0.5178508026473737,-0.5497535525330036,-0.5798689536102544,-0.5291216925291882,-0.5417642039075127,-0.3564247161674285,-0.49076444955673404,-0.5135972320009622,-0.5322820875823675,-0.4669901708646531,-0.49216374011826897,-0.546937168362107,-0.4787071095701046,-0.5226991698995344,-0.5382600929770698,-0.502636764239357,-0.597155347412968,-0.5283703066968806,-0.5115953666316237,-0.528532448540803,-0.5955060287156931,-0.4136718812050425,-0.5311415145263032,-0.5369145288065164,-0.560141683247954,-0.5263560755816427,-0.46192577548308844,-0.4612324162341472,-0.538779959508171,-0.39737623000845856,-0.4993450355653733,-0.46929659698681697,-0.5535749921947726,-0.4074493215010664,-0.6010004262718711,-0.5339972776986033,-0.5572455643602243,-0.30207326086847863,-0.4539793855282258,-0.4650049738252341,-0.4413882399268305,-0.5986787626525213,-0.4694508710925943,-0.4898100522559393,-0.47529403902881207,-0.4210987155535024,-0.45779518394773394,-0.5064552073071885,-0.5281561376706689,-0.48518609971480064,-0.3919329767206081,-0.489643069018111,-0.53233425572384,-0.3326452351596089,-0.5384090253376022,-0.5346874487496747,-0.24566452714859566,-0.40136707959183576,-0.4517838651781224,-0.4363442401766339,-0.5157422630366217,-0.4626388957450828,-0.3739258071500517,-0.48345192291773254,-0.29267107966413236,-0.3244428422615249,-0.510199758849911,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?
-0.35079489541979275,-0.3620025643814863,-0.3508244669687884,-0.4413789463378638,-0.28150614899102466,-0.27356613725980106,-0.33726834816364687,-0.29335939737606265,-0.3418556926189874,-0.266694327643384,-0.22102130909439827,-0.25286804011885144,-0.31118045106914943,-0.3185255041361103,-0.34198532081491034,-0.32973517614351966,-0.21985271403288764,-0.3628883548190641,-0.2744280089214008,-0.37699849448639894,-0.40622386488158757,-0.5594493884275908,-0.363306065264216,-0.3239984927631752,-0.36157853469219603,-0.45856915459734315,-0.3296624855690063,-0.3391235939838815,-0.4147216816381013,-0.4124984250848788,-0.21939028696980575,-0.39737623000845856,-0.34926556547409415,-0.44225893296288515,-0.38531733009346675,-0.4074493215010664,-0.26263557501961127,-0.5339972776986033,-0.5572455643602243,-0.25382323229958575,-0.35362604767461797,-0.4650049738252341,0.02014635119997981,-0.3253688927459355,-0.3767276221162942,-0.27044014733562527,-0.3376226622066734,-0.38741081830922225,-0.45779518394773394,-0.32569273608252797,-0.2955543239208309,-0.0329200460808394,-0.24393703455066865,-0.4368038889082429,-0.27126420971261533,-0.257505732005929,-0.325961363502262,-0.271894255853558,-0.20523384478088005,-0.3854938052576954,-0.38449690653457225,-0.36619511831091667,-0.45751329785506767,-0.3327670000757691,-0.3491546968972091,-0.48345192291773254,-0.29267107966413236,-0.3244428422615249,-0.3055602564821611,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,?
-0.5891892597654936,-0.5529570739024741,-0.5759469194051425,-0.5878311168718365,-0.5849259502987159,-0.5393439147399637,-0.5706033630508783,-0.36810347890657036,-0.555422199279703,-0.5382875224367201,-0.4956631724661358,-0.5098145970138134,-0.5503369401697716,-0.5766306847114867,-0.5698549687402341,-0.5672293223047685,-0.5527331556563507,-0.5550424177719668,-0.6432592529117634,-0.5773435400590952,-0.5642811175066418,-0.5903663283143787,-0.5955060287156931,-0.5033452696469098,-0.5787381404446491,-0.576087215911103,-0.560141683247954,-0.5773249177943666,-0.5091298693280756,-0.5343334029580498,-0.6186273776427624,-0.46809572856928594,-0.527577807166703,-0.5301313410406636,-0.5994634454951288,-0.4074493215010664,-0.6145350203219615,-0.5339972776986033,-0.5572455643602243,-0.33423994658107387,-0.4539793855282258,-0.4650049738252341,-0.5183106717812989,-0.5791566290877652,-0.48269704951778003,-0.4898100522559393,-0.6129654158509508,-0.4547866127977826,-0.45779518394773394,-0.5302766182437717,-0.5487664249649583,-0.5110298742081698,-0.4188413298424153,-0.5107787410620582,-0.5636626612451869,-0.35688378456402176,-0.5571544072642498,-0.5705228841445997,-0.24566452714859566,-0.4966067255966782,-0.4517838651781224,-0.4714188011094925,-0.5157422630366217,-0.47262904156579927,-0.3739258071500517,-0.48345192291773254,-0.29267107966413236,-0.3244428422615249,-0.5608531010201461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?
-0.3906978147737942,-0.3774853624507556,-0.42344461291599944,-0.2744234719291348,-0.35736109931794746,-0.2531216928382501,-0.3634857655667066,-0.2676661193499506,-0.3340183896222639,-0.20085355314802983,-0.1477834788619349,-0.4241657447154928,-0.382281028909875,-0.42131075303780885,-0.440728834915884,-0.42621717302152706,-0.4803678422599457,-0.43276255952921056,-0.5049475364153774,-0.39703299904366857,-0.43256674031909664,-0.37394774910686335,-0.2637917952135829,-0.3688351869841089,-0.38240205853147236,-0.30187840617899675,-0.33819875214970807,-0.364087924863583,-0.36751758779311416,-0.29066344721170784,-0.31520718873131537,-0.39737623000845856,-0.36561085429591667,-0.3949430209210044,-0.4617980855940603,-0.4074493215010664,-0.4521198917208768,-0.5052803946469498,-0.5572455643602243,-0.24042044658600442,-0.2532727098210102,-0.3969554654605657,-0.13369851250895695,-0.42297956056971614,-0.3171198192029584,-0.24606571345559036,-0.3835131211473863,-0.32003502382066185,-0.30484997476519554,-0.3369028118173907,-0.3956614336359511,-0.35596722724795454,-0.23272522074991564,-0.3733968727764012,-0.2817070115530643,-0.18479008379269043,-0.4009428912088526,-0.3674554169066913,-0.2187107389034519,-0.3537472565894146,-0.31720994789102214,-0.36619511831091667,-0.2245974371288514,-0.3727275833586349,-0.10144359436878372,-0.25784102555612404,-0.29267107966413236,-0.3244428422615249,-0.35823973233920564,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?
-0.5769114384258008,-0.5374742758332047,-0.5614228902157004,-0.590760160282516,-0.5849259502987159,-0.5188994703184127,-0.5653598795702665,-0.3774464890978838,-0.5515035477813413,-0.5547477160605586,-0.5505915451404833,-0.5098145970138134,-0.5374095623805488,-0.5606418682156669,-0.5318766940860135,-0.5598076302372296,-0.5816792810149127,-0.502636764239357,-0.6663112056611611,-0.5484048112541502,-0.5203763251107933,-0.528532448540803,-0.5291631820152711,-0.5033452696469098,-0.5549398274854762,-0.5630296535429075,-0.560141683247954,-0.5513204064613442,-0.5091298693280756,-0.5099664073834156,-0.6186273776427624,-0.46809572856928594,-0.5231200011243878,-0.5233719250346807,-0.5688711432948913,-0.4074493215010664,-0.6010004262718711,-0.5339972776986033,-0.5572455643602243,-0.3288788322956413,-0.4539793855282258,-0.4650049738252341,-0.5183106717812989,-0.5986787626525213,-0.48269704951778003,-0.4898100522559393,-0.6129654158509508,-0.4210987155535024,-0.4796444995452394,-0.5232703209094826,-0.5487664249649583,-0.5497955359482237,-0.4255684181228671,-0.5002109050400846,-0.553219859404738,-0.35688378456402176,-0.544657485979818,-0.558577739012958,-0.2537506636221388,-0.4966067255966782,-0.4517838651781224,-0.4538815206430632,-0.5157422630366217,-0.4526487499243664,-0.3739258071500517,-0.48345192291773254,-0.29267107966413236,-0.3244428422615249,-0.5345133630916238,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,?
-0.591235563322109,-0.5529570739024741,-0.5759469194051425,-0.5849020734611571,-0.5697549602333313,-0.5291216925291882,-0.5601163960896545,-0.37978224164571217,-0.5613001765272456,-0.5794380064963164,-0.587210460256715,-0.5098145970138134,-0.5697280068536059,-0.5949036178495664,-0.56225931380939,-0.5598076302372296,-0.5961523436941938,-0.5550424177719668,-0.6432592529117634,-0.579569596121014,-0.5555001590274721,-0.5903663283143787,-0.5955060287156931,-0.5033452696469098,-0.5846877186844424,-0.5499720911747119,-0.6028230161514628,-0.5700436546211203,-0.5091298693280756,-0.5343334029580498,-0.6026578940158441,-0.46809572856928594,-0.5246059364718262,-0.5233719250346807,-0.5535749921947726,-0.4074493215010664,-0.5739312381716903,-0.5339972776986033,-0.5572455643602243,-0.3396010608665064,-0.4539793855282258,-0.4650049738252341,-0.5183106717812989,-0.5986787626525213,-0.4694508710925943,-0.4654356183759044,-0.6129654158509508,-0.4547866127977826,-0.45779518394773394,-0.5274740993100561,-0.5487664249649583,-0.5497955359482237,-0.4165989670822647,-0.5107787410620582,-0.5636626612451869,-0.3471883648022566,-0.5384090253376022,-0.5705228841445997,-0.2510552847976244,-0.4807334512625378,-0.4517838651781224,-0.4538815206430632,-0.5157422630366217,-0.47262904156579927,-0.3491546968972091,-0.48345192291773254,-0.29267107966413236,-0.3244428422615249,-0.5608531010201461,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?
